"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""1939783476""","=""ccchunzhen""","=""18076187443563024""","=""@tf00822634 @cih._.0507 @yantzjiee9 台北💼""","=""https://www.instagram.com/ccchunzhen""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/453283035_3720570074850769_4815145395654470978_n.jpg""","=""10/16/2024, 10:26:39 AM"""
"=""1571708016""","=""betty.teng21""","=""18074272381573382""","=""@peichi_1ofu @uratg__ @athens_gomibako._  抽！""","=""https://www.instagram.com/betty.teng21""","=""https://instagram.ftpe11-1.fna.fbcdn.net/v/t51.2885-19/118040753_330019721485994_7187404686489693062_n.jpg""","=""10/16/2024, 10:32:03 AM"""
"=""4482960138""","=""0nilllin0""","=""18129236152337949""","=""@pol611211 @rm4ru8 @vm4vm0 抽抽✨""","=""https://www.instagram.com/0nilllin0""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/430881937_1736296546892753_653948467353732965_n.jpg""","=""10/16/2024, 11:07:41 AM"""
"=""4551494900""","=""cih._.0507""","=""18031336046367451""","=""@why._.rrrrr @yiyu_828 @kuri.diary.o_o 看展""","=""https://www.instagram.com/cih._.0507""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/137325559_1546425325547656_6760908779778823168_n.jpg""","=""10/16/2024, 11:18:45 AM"""
"=""15281460405""","=""celeryfoo.owo""","=""17917036175996572""","=""@hong_yi.1223 @xuyan_ggtnt @bird._.0705""","=""https://www.instagram.com/celeryfoo.owo""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/436105911_1388232482577152_8152186369836563595_n.jpg""","=""10/16/2024, 12:51:03 PM"""
"=""15281460405""","=""celeryfoo.owo""","=""18031685729346432""","=""@gimmyhikawa @yiyiwuwuwabao @joker_111221030""","=""https://www.instagram.com/celeryfoo.owo""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/436105911_1388232482577152_8152186369836563595_n.jpg""","=""10/16/2024, 12:51:15 PM"""
"=""15281460405""","=""celeryfoo.owo""","=""18068847406623549""","=""@jiangw__ @bifeng.enen @_peggy._.330 藝博！！""","=""https://www.instagram.com/celeryfoo.owo""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/436105911_1388232482577152_8152186369836563595_n.jpg""","=""10/16/2024, 12:51:50 PM"""
"=""5638147170""","=""ah_qin.25016""","=""18014378144645756""","=""@5._.5__ian @kagami_1202._.ww @hong_yi.1223""","=""https://www.instagram.com/ah_qin.25016""","=""https://instagram.ftpe11-1.fna.fbcdn.net/v/t51.2885-19/118972347_941823756315585_6842321319883698171_n.jpg""","=""10/16/2024, 12:54:17 PM"""
"=""719068926""","=""wie_wi_e06""","=""17863773186179703""","=""@jian_shan.1997 @uuu.o8 美女來看展🦦🧘🏻""","=""https://www.instagram.com/wie_wi_e06""","=""https://instagram.ftpe11-1.fna.fbcdn.net/v/t51.2885-19/461801455_2028125134288987_6097511942705579802_n.jpg""","=""10/16/2024, 12:55:59 PM"""
"=""719068926""","=""wie_wi_e06""","=""18043700228013136""","=""@jane_hagrid 吖少標一個 尼也給我來看🍬""","=""https://www.instagram.com/wie_wi_e06""","=""https://instagram.ftpe11-1.fna.fbcdn.net/v/t51.2885-19/461801455_2028125134288987_6097511942705579802_n.jpg""","=""10/16/2024, 12:56:43 PM"""
"=""7310230506""","=""hong_yi.1223""","=""18046197571997497""","=""@celeryfoo.owo @ah_qin.25016 @_peggy._.330""","=""https://www.instagram.com/hong_yi.1223""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/117590476_173622137623481_6257333615681427326_n.jpg""","=""10/16/2024, 1:13:06 PM"""
"=""7310230506""","=""hong_yi.1223""","=""17851165638301484""","=""@jingzhen.lai @tong_zhilin @weiting.x""","=""https://www.instagram.com/hong_yi.1223""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/117590476_173622137623481_6257333615681427326_n.jpg""","=""10/16/2024, 1:13:14 PM"""
